Subject,Relation,Object
瑞虎3x,HAS_UNIT,传感器
皓影,HAS_UNIT,电机
飞度,HAS_UNIT,轴承
北京BJ40,HAS_UNIT,转向机
空调,COMPOSED_OF,轴承
蒙派克S,HAS_UNIT,发动机
奔驰A级（进口）,HAS_UNIT,变速箱
奔驰A级（进口）,HAS_UNIT,发动机
逍客,HAS_UNIT,空调
长安CS35 PLUS,HAS_UNIT,空调
嘉际,HAS_UNIT,发动机
哈弗H6,HAS_UNIT,冷却系统
奔奔E-Star,HAS_UNIT,电机
宋Pro,HAS_UNIT,空调
长安睿行M80,HAS_UNIT,燃油泵
长安睿行M80,HAS_UNIT,发动机
长安睿行M80,HAS_UNIT,传感器
起亚K3,HAS_UNIT,变速箱
奔驰A级,HAS_UNIT,空调
逍客,HAS_UNIT,冷却系统
朗逸,HAS_UNIT,轴承
途胜,HAS_UNIT,变速箱
哈弗神兽,HAS_UNIT,电机
轩逸,HAS_UNIT,轴承
温度,FEATURE_FAILURE,降低
景程,HAS_UNIT,电池
荣威RX5 MAX,HAS_UNIT,变速箱
北京现代ix35,HAS_UNIT,冷却系统
北京现代ix35,HAS_UNIT,传感器
标致4008,HAS_UNIT,转向机
标致4008,HAS_UNIT,助力泵
比亚迪G6,HAS_UNIT,传感器
宋PLUS新能源,HAS_UNIT,电池
宋PLUS新能源,HAS_UNIT,动力电池
宝马1系,HAS_UNIT,发动机
帕杰罗（进口）,HAS_UNIT,燃油泵
博越,HAS_UNIT,差速器
昌河Q7,HAS_UNIT,变速箱
昌河Q7,HAS_UNIT,传感器
大指挥官,HAS_UNIT,发动机
瑞虎3x,HAS_UNIT,变速箱
瑞虎3x,HAS_UNIT,控制器
传祺GA4,HAS_UNIT,轴承
传祺GA4,HAS_UNIT,转向机
瑞虎8,HAS_UNIT,传感器
瑞虎8 PLUS,HAS_UNIT,传感器
元PLUS,HAS_UNIT,传感器
帝豪L 雷神Hi·X,HAS_UNIT,变速箱
帝豪L 雷神Hi·X,HAS_UNIT,发动机
奕泽IZOA,HAS_UNIT,轴承
奕泽IZOA,HAS_UNIT,转向机
昕动,HAS_UNIT,发动机
昕动,HAS_UNIT,传感器
福克斯,HAS_UNIT,空调
雪铁龙C4L,HAS_UNIT,电池
奥德赛,HAS_UNIT,转向机
威飒,HAS_UNIT,变速箱
威飒,HAS_UNIT,发动机
威朗,HAS_UNIT,电池
温度,FEATURE_FAILURE,报警
奥迪Q5L,HAS_UNIT,燃油泵
发现神行,HAS_UNIT,变速箱
星瑞,HAS_UNIT,空调
宝马5系,HAS_UNIT,转向机
昂科威,HAS_UNIT,燃油泵
缤瑞,HAS_UNIT,变速箱
凯迪拉克XT6,HAS_UNIT,变速箱
凯迪拉克XT6,HAS_UNIT,发动机
名爵6新能源,HAS_UNIT,电池
名爵6新能源,HAS_UNIT,动力电池
名爵6新能源,HAS_UNIT,空调
迈腾,HAS_UNIT,电池
桑塔纳,HAS_UNIT,变速箱
思域,HAS_UNIT,传感器
智跑,HAS_UNIT,冷却系统
智跑,HAS_UNIT,传感器
欧拉好猫,HAS_UNIT,空调
哈弗H7,HAS_UNIT,发动机
长安CS35,HAS_UNIT,发动机
长安CS35,HAS_UNIT,冷却系统
宝马X3,HAS_UNIT,电池
宝马X3,HAS_UNIT,电机
雅阁,HAS_UNIT,电池
名爵HS,HAS_UNIT,变速箱
名爵HS,HAS_UNIT,发动机
艾力绅,HAS_UNIT,转向机
艾力绅,HAS_UNIT,助力泵
阿特兹,HAS_UNIT,燃油泵
雷克萨斯NX,HAS_UNIT,传感器
传祺GS8,HAS_UNIT,空调
风光580,HAS_UNIT,轴承
五菱宏光,HAS_UNIT,空调
帝豪GSe,HAS_UNIT,电池
帝豪GSe,HAS_UNIT,动力电池
翼搏,HAS_UNIT,燃油泵
东南DX7,HAS_UNIT,变速箱
帝豪GS,HAS_UNIT,燃油泵
帝豪GS,HAS_UNIT,传感器
嘉悦X7,HAS_UNIT,轴承
威朗,HAS_UNIT,电机
名图,HAS_UNIT,传感器
领克03,HAS_UNIT,变速箱
蒙迪欧致胜,HAS_UNIT,发动机
蒙迪欧致胜,HAS_UNIT,空调
马自达CX-4,HAS_UNIT,燃油泵
马自达CX-4,HAS_UNIT,发动机
途胜,HAS_UNIT,传感器
途安,HAS_UNIT,发动机
逸动,HAS_UNIT,轴承
奕跑,HAS_UNIT,传感器
传祺GS8,HAS_UNIT,变速箱
风光580,HAS_UNIT,转向机
凯越,HAS_UNIT,燃油泵
途观,HAS_UNIT,电池
北京X7,HAS_UNIT,转向机
奥德赛,HAS_UNIT,电机
雪铁龙C4L,HAS_UNIT,空调
温度,FEATURE_FAILURE,抖动
域虎7,HAS_UNIT,电池
域虎7,HAS_UNIT,发动机
天籁,HAS_UNIT,燃油泵
标致508,HAS_UNIT,轴承
福克斯,HAS_UNIT,轴承
思域,HAS_UNIT,助力泵
俊风ER30,HAS_UNIT,燃油泵
俊风ER30,HAS_UNIT,发动机
俊风ER30,HAS_UNIT,控制器
比亚迪S6,HAS_UNIT,空调
ID.6 X,HAS_UNIT,传感器
领克02,HAS_UNIT,变速箱
途观,HAS_UNIT,水泵
锐界,HAS_UNIT,传感器
标致508,HAS_UNIT,空调
风骏5,HAS_UNIT,水泵
风光330,HAS_UNIT,变速箱
威朗,HAS_UNIT,空调
奥迪A6L,HAS_UNIT,传感器
胜达,HAS_UNIT,轴承
捷达VS7,HAS_UNIT,轴承
悦翔,HAS_UNIT,发动机
缤智,HAS_UNIT,燃油泵
奥德赛,HAS_UNIT,冷却系统
奥德赛,HAS_UNIT,水泵
昌河北斗星,HAS_UNIT,传感器
祥菱M,HAS_UNIT,发动机
宝马X2,HAS_UNIT,发动机
零跑C11,HAS_UNIT,轴承
享域,HAS_UNIT,空调
逍客,HAS_UNIT,转向机
Cayenne,HAS_UNIT,发动机
帕里斯帝,HAS_UNIT,变速箱
帕里斯帝,HAS_UNIT,发动机
哈弗H6,HAS_UNIT,水泵
领裕,HAS_UNIT,发动机
领裕,HAS_UNIT,传感器
楼兰,HAS_UNIT,发动机
楼兰,HAS_UNIT,传感器
传感器,UNIT_FAILURE,卡死
启辰星,HAS_UNIT,发动机
凯迪拉克XT4,HAS_UNIT,发动机
哈弗H7,HAS_UNIT,电池
君威,HAS_UNIT,冷却系统
捷途X70 PLUS,HAS_UNIT,轴承
捷豹XEL,HAS_UNIT,变速箱
起亚K2,HAS_UNIT,电机
星锐,HAS_UNIT,发动机
艾力绅,HAS_UNIT,空调
星越,HAS_UNIT,传感器
福克斯,HAS_UNIT,冷却系统
昂科威,HAS_UNIT,转向机
启辰星,HAS_UNIT,传感器
帝豪GL,HAS_UNIT,空调
英朗,HAS_UNIT,电机
揽胜极光,HAS_UNIT,转向机
揽胜极光,HAS_UNIT,助力泵
捷达VS7,HAS_UNIT,变速箱
帝豪,HAS_UNIT,电池
大切诺基,HAS_UNIT,变速箱
大切诺基,HAS_UNIT,传感器
迈锐宝,HAS_UNIT,传感器
奔驰GLC,HAS_UNIT,电池
阿特兹,HAS_UNIT,轴承
锐际,HAS_UNIT,变速箱
荣威RX5,HAS_UNIT,传感器
大切诺基（进口）,HAS_UNIT,发动机
大切诺基（进口）,HAS_UNIT,传感器
欧拉黑猫,HAS_UNIT,控制器
飞行家,HAS_UNIT,变速箱
红旗H5,HAS_UNIT,转向机
君威,HAS_UNIT,空调
名爵5,HAS_UNIT,传感器
温度,FEATURE_FAILURE,熄火
圣达菲,HAS_UNIT,电池
圣达菲,HAS_UNIT,发动机
跨越王X5,HAS_UNIT,发动机
探界者,HAS_UNIT,轴承
途昂,HAS_UNIT,轴承
哈弗H5,HAS_UNIT,转向机
缤瑞,HAS_UNIT,冷却系统
缤瑞,HAS_UNIT,水泵
途岳,HAS_UNIT,轴承
途锐,HAS_UNIT,发动机
起亚K3,HAS_UNIT,空调
魏牌 VV7,HAS_UNIT,助力泵
捷达VS7,HAS_UNIT,转向机
艾瑞泽GX,HAS_UNIT,轴承
揽胜星脉,HAS_UNIT,变速箱
揽胜星脉,HAS_UNIT,发动机
揽胜星脉,HAS_UNIT,传感器
冷却系统,UNIT_FAILURE,报警
飞度,HAS_UNIT,电机
速腾,HAS_UNIT,空调
探界者,HAS_UNIT,电机
RAV4荣放,HAS_UNIT,轴承
帝豪,HAS_UNIT,助力泵
哈弗H6,HAS_UNIT,转向机
雷凌,HAS_UNIT,电池
亚洲狮,HAS_UNIT,变速箱
探界者,HAS_UNIT,电池
悦动,HAS_UNIT,转向机
红旗HS5,HAS_UNIT,电机
豪越,HAS_UNIT,电机
杰德,HAS_UNIT,电机
诊断仪,DETECTS,压力
电池,UNIT_FAILURE,高温
星越,HAS_UNIT,轴承
星越,HAS_UNIT,转向机
星越,HAS_UNIT,助力泵
宋PLUS新能源,HAS_UNIT,电机
宋PLUS新能源,HAS_UNIT,发动机
宝骏RS-5,HAS_UNIT,电机
宝骏RS-5,HAS_UNIT,空调
宝来,HAS_UNIT,冷却系统
冷却系统,COMPOSED_OF,传感器
北京BJ40,HAS_UNIT,轴承
福睿斯,HAS_UNIT,变速箱
锐际,HAS_UNIT,传感器
本田XR-V,HAS_UNIT,冷却系统
本田XR-V,HAS_UNIT,水泵
途胜,HAS_UNIT,电池
途胜,HAS_UNIT,电机
风光S560,HAS_UNIT,发动机
昂科威,HAS_UNIT,冷却系统
昂科威,HAS_UNIT,水泵
途铠,HAS_UNIT,传感器
宝马X3,HAS_UNIT,冷却系统
电流,FEATURE_FAILURE,无法启动
皓影,HAS_UNIT,空调
锐界,HAS_UNIT,转向机
昂科拉,HAS_UNIT,冷却系统
昂科拉,HAS_UNIT,水泵
思皓X8,HAS_UNIT,变速箱
思皓X8,HAS_UNIT,发动机
逸动XT,HAS_UNIT,发动机
艾瑞泽5,HAS_UNIT,空调
亚洲龙,HAS_UNIT,转向机
宝马5系,HAS_UNIT,水泵
途锐,HAS_UNIT,传感器
辉腾,HAS_UNIT,电池
英仕派,HAS_UNIT,动力电池
长安欧尚X7 PLUS,HAS_UNIT,发动机
长城C50,HAS_UNIT,发动机
长城C50,HAS_UNIT,传感器
宝骏530,HAS_UNIT,空调
猎豹CS10,HAS_UNIT,变速箱
奔腾T33,HAS_UNIT,转向机
传祺GA8,HAS_UNIT,轴承
君越,HAS_UNIT,空调
风光580,HAS_UNIT,空调
逍客,HAS_UNIT,轴承
锐际,HAS_UNIT,冷却系统
锐际,HAS_UNIT,水泵
驱逐舰05,HAS_UNIT,电池
哈弗初恋,HAS_UNIT,空调
风神AX7,HAS_UNIT,冷却系统
风神AX7,HAS_UNIT,传感器
风神AX7,HAS_UNIT,水泵
RAV4荣放,HAS_UNIT,燃油泵
RAV4荣放,HAS_UNIT,电池
凌派,HAS_UNIT,电池
卡罗拉,HAS_UNIT,燃油泵
风光580,HAS_UNIT,传感器
爱丽舍,HAS_UNIT,电池
爱丽舍,HAS_UNIT,动力电池
途昂,HAS_UNIT,电池
众泰SR9,HAS_UNIT,发动机
众泰SR9,HAS_UNIT,传感器
宝骏530,HAS_UNIT,电机
凯美瑞,HAS_UNIT,冷却系统
发现神行,HAS_UNIT,发动机
魏牌 VV5,HAS_UNIT,变速箱
阿特兹,HAS_UNIT,空调
嘉悦A5,HAS_UNIT,发动机
赛欧,HAS_UNIT,变速箱
哈弗H2,HAS_UNIT,发动机
哈弗H6,HAS_UNIT,轴承
君威,HAS_UNIT,电池
传祺GS8,HAS_UNIT,控制器
名爵HS,HAS_UNIT,传感器
胜达,HAS_UNIT,变速箱
胜达,HAS_UNIT,差速器
宋Pro,HAS_UNIT,发动机
智跑,HAS_UNIT,轴承
宝马7系,HAS_UNIT,传感器
标致5008,HAS_UNIT,变速箱
哈弗M6,HAS_UNIT,燃油泵
哈弗M6,HAS_UNIT,传感器
长安CS35 PLUS,HAS_UNIT,水泵
奔腾B50,HAS_UNIT,变速箱
风行T5L,HAS_UNIT,空调
雷克萨斯NX,HAS_UNIT,变速箱
缤瑞,HAS_UNIT,电池
劲客,HAS_UNIT,冷却系统
北京现代ix35,HAS_UNIT,轴承
奥迪Q3,HAS_UNIT,空调
捷途X70,HAS_UNIT,转向机
奔腾T99,HAS_UNIT,变速箱
风光S560,HAS_UNIT,电机
宝马X3,HAS_UNIT,轴承
摩卡,HAS_UNIT,发动机
哈弗赤兔,HAS_UNIT,变速箱
嘉悦A5,HAS_UNIT,燃油泵
嘉悦A5,HAS_UNIT,电池
福美来,HAS_UNIT,轴承
宋新能源,HAS_UNIT,发动机
享域,HAS_UNIT,电机
传祺GE3,HAS_UNIT,空调
奥迪A6L,HAS_UNIT,分离器
频率,FEATURE_FAILURE,抖动
思迪,HAS_UNIT,发动机
远景,HAS_UNIT,轴承
博瑞,HAS_UNIT,变速箱
天籁,HAS_UNIT,助力泵
远景,HAS_UNIT,转向机
自由光,HAS_UNIT,空调
辉昂,HAS_UNIT,发动机
辉昂,HAS_UNIT,冷却系统
辉昂,HAS_UNIT,水泵
凡尔赛C5 X,HAS_UNIT,传感器
景逸X5,HAS_UNIT,发动机
景逸X5,HAS_UNIT,传感器
博越,HAS_UNIT,轴承
迈腾,HAS_UNIT,轴承
长安欧尚X7 PLUS,HAS_UNIT,变速箱
帝豪S,HAS_UNIT,变速箱
帝豪S,HAS_UNIT,发动机
RAV4荣放,HAS_UNIT,电机
捷达VS5,HAS_UNIT,轴承
标致508,HAS_UNIT,电机
哈弗大狗,HAS_UNIT,电机
凯迪拉克ATS-L,HAS_UNIT,变速箱
北京X7,HAS_UNIT,变速箱
传祺M6,HAS_UNIT,发动机
昂科旗,HAS_UNIT,变速箱
魏牌 VV7,HAS_UNIT,转向机
发现运动版,HAS_UNIT,水泵
特顺,HAS_UNIT,发动机
奥铃,HAS_UNIT,传感器
水泵,UNIT_FAILURE,漏油
水泵,UNIT_FAILURE,抖动
变速箱,COMPOSED_OF,水泵
菲翔,HAS_UNIT,电池
风行T5,HAS_UNIT,空调
SWM斯威G01,HAS_UNIT,发动机
蒙迪欧,HAS_UNIT,冷却系统
蒙迪欧,HAS_UNIT,水泵
欧蓝德,HAS_UNIT,传感器
探岳,HAS_UNIT,电机
名爵ZS,HAS_UNIT,传感器
蒙迪欧致胜,HAS_UNIT,冷却系统
蒙迪欧致胜,HAS_UNIT,传感器
蒙迪欧致胜,HAS_UNIT,水泵
英朗,HAS_UNIT,冷却系统
享域,HAS_UNIT,变速箱
星越L,HAS_UNIT,传感器
帝豪GS,HAS_UNIT,空调
起亚K3,HAS_UNIT,燃油泵
起亚K3,HAS_UNIT,传感器
骐达TIIDA,HAS_UNIT,电机
骐达TIIDA,HAS_UNIT,发动机
远景X6,HAS_UNIT,变速箱
马自达CX-30,HAS_UNIT,发动机
英仕派,HAS_UNIT,电机
哈弗大狗,HAS_UNIT,燃油泵
思域,HAS_UNIT,轴承
途昂,HAS_UNIT,传感器
马自达3,HAS_UNIT,燃油泵
五菱宏光S3,HAS_UNIT,发动机
哥瑞,HAS_UNIT,变速箱
哈弗初恋,HAS_UNIT,电机
风光580,HAS_UNIT,燃油泵
汉兰达,HAS_UNIT,传感器
途岳,HAS_UNIT,电池
红旗H7,HAS_UNIT,发动机
奔驰E级,HAS_UNIT,燃油泵
奔驰E级,HAS_UNIT,电池
锐程CC,HAS_UNIT,电池
奥迪Q5L,HAS_UNIT,助力泵
卡罗拉,HAS_UNIT,冷却系统
世嘉,HAS_UNIT,转向机
标致508,HAS_UNIT,变速箱
英菲尼迪Q50L,HAS_UNIT,燃油泵
英菲尼迪Q50L,HAS_UNIT,电池
英菲尼迪Q50L,HAS_UNIT,发动机
奔驰GLA,HAS_UNIT,燃油泵
奔驰GLA,HAS_UNIT,电池
领动,HAS_UNIT,电机
奇骏,HAS_UNIT,燃油泵
Polo,HAS_UNIT,电机
北京BJ40,HAS_UNIT,差速器
差速器,UNIT_FAILURE,断裂
宝骏RS-5,HAS_UNIT,变速箱
宝骏RS-5,HAS_UNIT,传感器
明锐,HAS_UNIT,电机
远景X3,HAS_UNIT,发动机
远景X3,HAS_UNIT,传感器
北京EU5,HAS_UNIT,电池
北京EU5,HAS_UNIT,动力电池
瑞虎5,HAS_UNIT,发动机
悦动,HAS_UNIT,轴承
发动机,UNIT_FAILURE,摇晃
转速,FEATURE_FAILURE,摇晃
名图,HAS_UNIT,空调
威兰达,HAS_UNIT,转向机
飞度,HAS_UNIT,控制器
经典帝豪,HAS_UNIT,空调
元PLUS,HAS_UNIT,电机
元PLUS,HAS_UNIT,控制器
奔奔,HAS_UNIT,发动机
奔腾B70,HAS_UNIT,变速箱
亚洲龙,HAS_UNIT,轴承
英朗,HAS_UNIT,燃油泵
奔奔,HAS_UNIT,传感器
海马S5,HAS_UNIT,变速箱
海马S5,HAS_UNIT,发动机
奔腾B50,HAS_UNIT,发动机
指挥官,HAS_UNIT,燃油泵
指挥官,HAS_UNIT,发动机
翼虎,HAS_UNIT,冷却系统
宝骏730,HAS_UNIT,发动机
标致308,HAS_UNIT,电池
驭胜S350,HAS_UNIT,变速箱
驭胜S350,HAS_UNIT,发动机
威兰达,HAS_UNIT,传感器
本田CR-V,HAS_UNIT,传感器
瑞纳,HAS_UNIT,变速箱
瑞虎8,HAS_UNIT,电机
起亚K5,HAS_UNIT,电机
博越,HAS_UNIT,空调
埃尔法,HAS_UNIT,发动机
宋Pro新能源,HAS_UNIT,变速箱
宋Pro新能源,HAS_UNIT,发动机
景逸,HAS_UNIT,发动机
景逸,HAS_UNIT,助力泵
帝豪GL,HAS_UNIT,轴承
锐际,HAS_UNIT,转向机
楼兰,HAS_UNIT,冷却系统
楼兰,HAS_UNIT,水泵
艾瑞泽GX,HAS_UNIT,空调
逸致,HAS_UNIT,发动机
捷达VS5,HAS_UNIT,冷却系统
捷达VS5,HAS_UNIT,水泵
奥迪A4L,HAS_UNIT,电机
途铠,HAS_UNIT,空调
途岳,HAS_UNIT,空调
天籁,HAS_UNIT,电机
瑞虎,HAS_UNIT,变速箱
瑞虎,HAS_UNIT,轴承
宝马X1,HAS_UNIT,发动机
北京现代ix25,HAS_UNIT,空调
哈弗H4,HAS_UNIT,电池
哈弗H4,HAS_UNIT,传感器
长安CS35,HAS_UNIT,传感器
雷克萨斯RX,HAS_UNIT,变速箱
沃尔沃S90,HAS_UNIT,变速箱
凡尔赛C5 X,HAS_UNIT,空调
探界者,HAS_UNIT,传感器
瑞虎5,HAS_UNIT,变速箱
缤智,HAS_UNIT,空调
福瑞迪,HAS_UNIT,空调
风骏7,HAS_UNIT,电机
领克01,HAS_UNIT,空调
依维柯褒迪,HAS_UNIT,轴承
沃尔沃S90,HAS_UNIT,电机
沃尔沃S90,HAS_UNIT,冷却系统
冷却系统,UNIT_FAILURE,断裂
电机,COMPOSED_OF,冷却系统
轩逸·纯电,HAS_UNIT,电池
创酷,HAS_UNIT,变速箱
瑞风M5,HAS_UNIT,传感器
福美来,HAS_UNIT,变速箱
凯美瑞,HAS_UNIT,燃油泵
英菲尼迪QX60,HAS_UNIT,变速箱
英菲尼迪QX60,HAS_UNIT,发动机
凯迪拉克XT5,HAS_UNIT,空调
威驰,HAS_UNIT,发动机
奔腾B70,HAS_UNIT,转向机
奥迪Q3,HAS_UNIT,传感器
宝沃BX5,HAS_UNIT,空调
瑞虎7,HAS_UNIT,水泵
东南DX7,HAS_UNIT,电机
风光580,HAS_UNIT,助力泵
奔腾T99,HAS_UNIT,电机
传祺GS5,HAS_UNIT,空调
威朗,HAS_UNIT,轴承
奔腾T99,HAS_UNIT,发动机
奥迪A3,HAS_UNIT,轴承
伊兰特,HAS_UNIT,传感器
凌渡,HAS_UNIT,传感器
狮跑,HAS_UNIT,空调
东南DX3,HAS_UNIT,空调
蒙迪欧,HAS_UNIT,空调
天籁,HAS_UNIT,电池
贵士,HAS_UNIT,传感器
荣威i6,HAS_UNIT,冷却系统
荣威i6,HAS_UNIT,水泵
昂科拉,HAS_UNIT,变速箱
远景X6,HAS_UNIT,燃油泵
轩逸·纯电,HAS_UNIT,动力电池
捷达,HAS_UNIT,转向机
奔奔EV,HAS_UNIT,电池
五菱荣光小卡,HAS_UNIT,发动机
解放J6P,HAS_UNIT,发动机
科鲁兹,HAS_UNIT,空调
长安CS75,HAS_UNIT,电池
奔腾T77,HAS_UNIT,电池
嘉年华,HAS_UNIT,发动机
Polo,HAS_UNIT,变速箱
传祺GS4,HAS_UNIT,燃油泵
缤智,HAS_UNIT,水泵
瑞虎8,HAS_UNIT,变速箱
奔腾T99,HAS_UNIT,转向机
祥菱S,HAS_UNIT,燃油泵
祥菱S,HAS_UNIT,电池
祥菱S,HAS_UNIT,发动机
标致4008,HAS_UNIT,电池
领克03,HAS_UNIT,燃油泵
领克03,HAS_UNIT,电池
宝骏630,HAS_UNIT,转向机
艾瑞泽5,HAS_UNIT,冷却系统
长安CS55 PLUS,HAS_UNIT,冷却系统
长安CS55 PLUS,HAS_UNIT,传感器
长安CS55 PLUS,HAS_UNIT,水泵
楼兰,HAS_UNIT,电机
嘉际,HAS_UNIT,变速箱
转速,FEATURE_FAILURE,无法启动
速锐,HAS_UNIT,传感器
志俊,HAS_UNIT,燃油泵
志俊,HAS_UNIT,发动机
志俊,HAS_UNIT,传感器
奔驰C级,HAS_UNIT,电池
捷途X90 PLUS,HAS_UNIT,变速箱
K5,HAS_UNIT,空调
昕锐,HAS_UNIT,发动机
英仕派,HAS_UNIT,转向机
朗逸,HAS_UNIT,冷却系统
朗逸,HAS_UNIT,水泵
长安星卡C系,HAS_UNIT,变速箱
中华V7,HAS_UNIT,变速箱
嘉悦A5,HAS_UNIT,变速箱
嘉悦A5,HAS_UNIT,传感器
风骏7,HAS_UNIT,变速箱
东风小康EC36,HAS_UNIT,电池
东风小康EC36,HAS_UNIT,动力电池
威兰达,HAS_UNIT,电机
速派,HAS_UNIT,冷却系统
奔腾T33,HAS_UNIT,变速箱
科鲁泽,HAS_UNIT,转向机
标致4008,HAS_UNIT,传感器
宝来,HAS_UNIT,差速器
发现运动版,HAS_UNIT,变速箱
传祺GS4,HAS_UNIT,电机
明锐,HAS_UNIT,电池
明锐,HAS_UNIT,传感器
C4世嘉,HAS_UNIT,空调
沃尔沃XC40,HAS_UNIT,转向机
宋PLUS,HAS_UNIT,电机
众泰E200,HAS_UNIT,变速箱
天语SX4,HAS_UNIT,发动机
天语SX4,HAS_UNIT,传感器
发现运动版,HAS_UNIT,发动机
博越,HAS_UNIT,燃油泵
帝豪L,HAS_UNIT,变速箱
宋MAX,HAS_UNIT,发动机
智跑,HAS_UNIT,变速箱
奔驰C级,HAS_UNIT,控制器
宝骏360,HAS_UNIT,电机
睿骋,HAS_UNIT,变速箱
途达,HAS_UNIT,变速箱
雷凌双擎E+,HAS_UNIT,发动机
奥丁,HAS_UNIT,传感器
探界者,HAS_UNIT,助力泵
瑞虎7,HAS_UNIT,电机
荣威i6 MAX,HAS_UNIT,传感器
电机,COMPOSED_OF,转向机
长安CS75 PLUS,HAS_UNIT,电池
五菱星辰,HAS_UNIT,冷却系统
哈弗H7,HAS_UNIT,变速箱
奔驰E级,HAS_UNIT,传感器
经典帝豪,HAS_UNIT,燃油泵
经典帝豪,HAS_UNIT,发动机
经典帝豪,HAS_UNIT,传感器
宝沃BX5,HAS_UNIT,发动机
陆风X7,HAS_UNIT,变速箱
缤智,HAS_UNIT,变速箱
标致5008,HAS_UNIT,空调
标致5008,HAS_UNIT,传感器
K5,HAS_UNIT,发动机
雅阁,HAS_UNIT,助力泵
明锐,HAS_UNIT,空调
明锐,HAS_UNIT,差速器
思皓曜,HAS_UNIT,变速箱
红旗H5,HAS_UNIT,电池
速腾,HAS_UNIT,水泵
昂科旗,HAS_UNIT,发动机
传祺GS3,HAS_UNIT,传感器
金牛座,HAS_UNIT,转向机
猎豹CS10,HAS_UNIT,发动机
卡罗拉,HAS_UNIT,轴承
昂科旗,HAS_UNIT,传感器
奔腾T99,HAS_UNIT,电池
世嘉,HAS_UNIT,传感器
奔驰M级,HAS_UNIT,电池
凯迪拉克CT5,HAS_UNIT,变速箱
荣威RX3,HAS_UNIT,燃油泵
荣威RX3,HAS_UNIT,发动机
阿特兹,HAS_UNIT,冷却系统
阿特兹,HAS_UNIT,水泵
长安CS35,HAS_UNIT,变速箱
凌派,HAS_UNIT,空调
骏铃,HAS_UNIT,传感器
启辰T70,HAS_UNIT,发动机
奔腾B70,HAS_UNIT,电池
北京BJ40,HAS_UNIT,电机
骐达TIIDA,HAS_UNIT,燃油泵
奥拓,HAS_UNIT,空调
阻值,FEATURE_FAILURE,高温
昕锐,HAS_UNIT,空调
奥迪A6,HAS_UNIT,发动机
凌派,HAS_UNIT,电机
一汽-大众CC,HAS_UNIT,变速箱
帝豪,HAS_UNIT,空调
瑞虎5x,HAS_UNIT,变速箱
标致408,HAS_UNIT,水泵
传祺GS5,HAS_UNIT,变速箱
传祺M6,HAS_UNIT,变速箱
变速箱,UNIT_FAILURE,摇晃
上汽大通MAXUS EV30,HAS_UNIT,电机
上汽大通MAXUS EV30,HAS_UNIT,控制器
长安欧尚X5,HAS_UNIT,传感器
迈锐宝XL,HAS_UNIT,传感器
起亚K4,HAS_UNIT,传感器
西玛CIMA,HAS_UNIT,电机
小鹏P7,HAS_UNIT,传感器
哈弗H9,HAS_UNIT,变速箱
冒险家,HAS_UNIT,发动机
电压,FEATURE_FAILURE,异响
蔚来ES8,HAS_UNIT,电机
红旗H5,HAS_UNIT,空调
哈弗F7,HAS_UNIT,转向机
思域,HAS_UNIT,电机
欧马可,HAS_UNIT,发动机
伊兰特,HAS_UNIT,转向机
柯米克,HAS_UNIT,发动机
劲客,HAS_UNIT,变速箱
福睿斯,HAS_UNIT,空调
标致308,HAS_UNIT,发动机
阳光,HAS_UNIT,变速箱
广汽丰田iA5,HAS_UNIT,电池
绎乐,HAS_UNIT,电机
宋,HAS_UNIT,变速箱
广汽丰田iA5,HAS_UNIT,动力电池
YARiS L 致享,HAS_UNIT,冷却系统
瑞纳,HAS_UNIT,电机
江淮iEV6E,HAS_UNIT,电池
江淮iEV6E,HAS_UNIT,动力电池
魏牌 VV7,HAS_UNIT,轴承
哈弗H8,HAS_UNIT,发动机
标致308,HAS_UNIT,电机
上汽大通MAXUS T70,HAS_UNIT,传感器
瑞风S3,HAS_UNIT,转向机
逸动,HAS_UNIT,冷却系统
哈弗H7,HAS_UNIT,转向机
威驰,HAS_UNIT,燃油泵
金杯T52S,HAS_UNIT,发动机
凯翼C3,HAS_UNIT,发动机
荣威RX3,HAS_UNIT,空调
五菱凯捷,HAS_UNIT,变速箱
五菱凯捷,HAS_UNIT,发动机
桑塔纳,HAS_UNIT,燃油泵
桑塔纳,HAS_UNIT,传感器
奥迪A8,HAS_UNIT,变速箱
奔腾X80,HAS_UNIT,变速箱
自由舰,HAS_UNIT,发动机
空调,UNIT_FAILURE,断裂
威驰,HAS_UNIT,变速箱
比亚迪e5,HAS_UNIT,电机
比亚迪e5,HAS_UNIT,逆变器
天籁,HAS_UNIT,传感器
红旗H9,HAS_UNIT,变速箱
宝骏360,HAS_UNIT,电池
锐腾,HAS_UNIT,发动机
奕炫MAX,HAS_UNIT,变速箱
宝骏RC-5,HAS_UNIT,发动机
翼搏,HAS_UNIT,控制器
标致4008,HAS_UNIT,电机
雪铁龙C5,HAS_UNIT,发动机
上汽大通MAXUS G50,HAS_UNIT,变速箱
荣威e950,HAS_UNIT,传感器
标致2008,HAS_UNIT,发动机
凯翼X3,HAS_UNIT,发动机
宋新能源,HAS_UNIT,电池
宝骏530,HAS_UNIT,变速箱
起亚KX5,HAS_UNIT,轴承
博瑞,HAS_UNIT,传感器
创酷,HAS_UNIT,空调
本田UR-V,HAS_UNIT,发动机
Mattu,HAS_UNIT,发动机
Mattu,HAS_UNIT,传感器
